Age,Male Mort. Rate,Num. Male Lives,Female Mort. Rate,Num. Female Lives
4,0.0001033708513431,99556.644868645,4.80054978928113E-05,99623.368747277
5,7.72466485488164E-05,99546.3536135081,9.58447609779115E-05,99618.5862778586
6,9.52626577352116E-05,99538.6639913162,7.06502011094518E-05,99609.0383582678
7,7.80545956417152E-05,99529.1816736369,5.94701212199304E-05,99602.0009596755
8,0.000072059434621676,99521.4129636069,7.04680842496282E-05,99596.0776166047
9,4.08827794518341E-05,99514.2415068559,0.000068125562982083,99589.0592718162
10,9.24643951246931E-05,99510.1730880681,7.93480152757728E-05,99582.2747110865
11,9.50406298692691E-05,99500.9719401048,6.04792056713718E-05,99574.3730552315
12,9.79949713106827E-05,99491.515305059,5.41031855955679E-05,99568.3508762439
13,0.000119351048565268,99481.765636871,8.07109240844181E-05,99562.963911277
14,0.000146335514816471,99469.8923838291,8.82982086856954E-05,99554.9280924551
15,0.000204700362928211,99455.3364059184,0.0001368825722274,99546.1375706387
16,0.000222663272655301,99434.977862461,0.000153238980527084,99532.5114392728
17,0.000341246884122689,99412.8373448737,0.000149205410807539,99517.2591786905
18,0.000435485076261425,99378.913023888,0.000226354170643773,99502.4106651523
19,0.000492151802599661,99335.634990371,0.000213722008353628,99479.8878795091
20,0.000503047305794718,99286.7467785481,0.000183503541363482,99458.6268380807
21,0.000533498788464205,99236.80084808,0.000219593751559615,99440.3758278368
22,0.000509683995922528,99183.8581350565,0.000232333393476375,99418.5393426522
23,0.000513007592512369,99133.3057099112,0.000206894394845924,99395.4410960323
24,0.000571113738980864,99082.4495714112,0.000226863968154848,99374.8767363963
25,0.000578744610164699,99025.8622231691,0.000288495394295969,99352.332157525
26,0.000589366452573208,98968.5515391405,0.000247702668332762,99323.669467285
27,0.000582973334842373,98910.2227950036,0.00028584913813161,99299.0667293293
28,0.000707148949503038,98852.5607725708,0.000350541105968353,99270.6821766875
29,0.000763452560637439,98782.6572880648,0.000312052531055866,99235.883721967
30,0.000775592893964416,98707.2414154116,0.000376364320662401,99204.91691328
31,0.000873831334827907,98630.684780387,0.000346518163140751,99167.5797221196
32,0.000769251351206721,98544.4981974504,0.000470137324873846,99133.2163545512
33,0.00095794117380631,98468.692709058,0.000467743757767484,99086.6101294081
34,0.00097757991601074,98374.3654939811,0.000604362772162051,99040.2629860417
35,0.00105885244282541,98278.1966900239,0.000587321092959375,98980.4067381478
36,0.0011268689533861,98174.1345813822,0.000659431673426029,98922.2734574808
37,0.00133644410083083,98063.5051970969,0.00076125888416065,98857.0409771556
38,0.00127104958022832,97932.4488040694,0.000762156627778313,98781.78517645
39,0.00139583261783624,97807.9718061263,0.000886582963518933,98706.4979841739
40,0.00157749306645702,97671.4482487949,0.000812281699293315,98618.9864846726
41,0.00161473458120705,97517.3722163916,0.000921059623428315,98538.8800867482
42,0.00191222436093109,97359.9075432053,0.00103229831193233,98448.1199029625
43,0.00204566925619466,97173.7335562232,0.00119323912171768,98346.4920749737
44,0.00212133661023383,96974.9482369776,0.00130593232724684,98229.1411931462
45,0.00233497049655506,96769.231729007,0.00141920262507288,98100.8605821843
46,0.00253877133257682,96543.2784279454,0.00154677866530139,97961.6355833242
47,0.00267796225962233,96298.1771203196,0.00175843878219495,97810.1106153859
48,0.00283695190955522,96040.2942363209,0.00193654007711695,97638.117523589
49,0.00318651080361123,95767.832540193,0.00195451654958708,97449.0373959503
50,0.00332486884393353,95462.6673071652,0.00211101347703188,97258.5716396186
51,0.00359425611889626,95145.2664588768,0.00233035028866478,97053.2574841305
52,0.00391692653274096,94803.290002723,0.00250613459072396,96827.0893975365
53,0.00429695117987389,94431.9524807202,0.00275596409492253,96584.4276794782
54,0.00450805245093725,94026.1829910904,0.00287804753255392,96318.244464665
55,0.00488881702754535,93602.3080264051,0.00326623888768726,96041.0359788435
56,0.00534575364735114,93144.7034691081,0.00364693196220698,95727.3430123156
57,0.00610490937462489,92646.7748308067,0.00400762243239768,95378.2319054269
58,0.00664967608600612,92081.1746666133,0.00445576680441669,94995.9919636802
59,0.00692801278234896,91468.8646814614,0.00476566354218056,94572.7119761358
60,0.00761576007860074,90835.1672177612,0.00522635240765549,94122.010250586
61,0.00862222052230549,90143.3883775312,0.005653190108632,93630.0954556995
62,0.00934361396420747,89366.1522043123,0.00633804743277621,93100.7867261991
63,0.010403351900002,88531.1493766486,0.0067781242090566,92510.7095238996
64,0.0106972604791738,87610.1286755717,0.00728665213998204,91883.6604440787
65,0.0123092325274937,86672.9403085151,0.0083372633083244,91214.1361730745
66,0.0133674499372586,85606.062932416,0.0086216364634816,90453.6599023582
67,0.0141924989033484,84461.7281718412,0.00925674846363094,89673.8013298887
68,0.0157901195033116,83263.0051873874,0.0103934149832098,88843.7135072003
69,0.0172803818715297,81948.2723852737,0.0108840004652207,87920.3239240705
70,0.0181381446957186,80532.174944744,0.012381823726746,86963.3990775786
71,0.0224736237709036,79071.4707029353,0.0148637946979892,85886.6335995214
72,0.0231287433065537,77294.4482193455,0.0160606794157992,84610.0323103967
73,0.0260430073999413,75506.7247674586,0.017206497742924,83251.137706099
74,0.0292178449265359,73540.3025755943,0.0201293122627592,81818.6771930631
75,0.0335239262133279,71391.6134190901,0.0229468689423933,80171.7234909181
76,0.0371546660865782,68998.2862385781,0.0253387251427857,78332.0334590862
77,0.0399495524567647,66434.6779528376,0.027941310647764,76347.1995933909
78,0.0440087729233811,63780.6423010124,0.0311798507527366,74213.9587724651
79,0.0493943971657895,60973.7344970798,0.0353167980150478,71899.9786141699
80,0.0562086002040805,57961.9736386496,0.0396184920683301,69360.701592167
81,0.0635560700041519,54704.0122353553,0.0460172670615606,66612.7351862839
82,0.0696370387209214,51227.2402042171,0.050640186468278,63547.3991615157
83,0.0801220937384672,47659.9268945501,0.0595645474952536,60329.3470184024
84,0.0894700381018358,43841.3137643364,0.0660216456188314,56735.8567625672
85,0.0990673973656379,39918.8297514067,0.0751149206094305,52990.0621335082
86,0.115303464163455,35964.1751820529,0.0866617348148042,49009.7178232609
87,0.129123833821065,31817.3811977808,0.100400972437092,44762.4506539131
88,0.147651407661862,27708.9989553771,0.116078859525876,40268.2570795929
89,0.169009199766355,23617.7262547146,0.130077990415636,35593.963722699
90,0.181229558914523,19626.1132401044,0.149342876685558,30963.9724507233
91,0.201362107163371,16069.2813943938,0.168203720384907,26339.7237313199
